Time,Occupant Number,INDOOR Ambient Temp.,INDOOR Relative Humidity,INDOOR Air Velocity,INDOOR Mean Radiant Temp.,Predicted Mean Vote (PMV)
735084.375,1.0,23.635274,59.263,0.030988,23.635274,-0.649398
735084.385417,1.0,23.721585,59.178,0.030988,23.721585,-0.61842
735084.395833,1.0,23.721585,59.158,0.030988,23.721585,-0.618561
735084.40625,1.0,23.721585,59.197,0.030988,23.721585,-0.618285
735084.416667,1.0,23.721585,59.173,0.030988,23.721585,-0.618455
735084.427083,1.0,23.894207,58.969,0.030988,23.894207,-0.556761
735084.4375,1.0,23.894207,58.818,0.030988,23.894207,-0.55784
735084.447917,1.0,23.894207,58.699,0.030988,23.894207,-0.558691
735084.458333,1.0,24.066829,58.613,0.030988,24.066829,-0.496193
735084.46875,1.0,24.066829,58.528,0.030988,24.066829,-0.496807
735084.479167,1.0,24.066829,58.439,0.030988,24.066829,-0.49745
735084.489583,1.0,24.066829,58.323,0.030988,24.066829,-0.498288
735084.5,1.0,24.066829,58.269,0.030988,24.066829,-0.498678
735084.510417,1.0,24.066829,58.148,0.030988,24.066829,-0.499553
735084.520833,1.0,24.066829,58.032,0.030988,24.066829,-0.500391
735084.53125,1.0,24.066829,57.857,0.030988,24.066829,-0.501655
735084.541667,1.0,24.066829,57.679,0.030988,24.066829,-0.502941
735084.552083,1.0,24.066829,57.531,0.030988,24.066829,-0.50401
735084.5625,1.0,24.066829,57.573,0.030988,24.066829,-0.503707
735084.572917,1.0,24.066829,57.649,0.030988,24.066829,-0.503158
735084.583333,1.0,24.239451,57.691,0.030988,24.239451,-0.43981
735084.59375,1.0,24.325762,57.299,0.030988,24.325762,-0.411917
735084.604167,1.0,24.412071,56.971,0.030988,24.412071,-0.382776
735084.614583,1.0,24.412071,56.58,0.030988,24.412071,-0.38566
735084.625,1.0,24.412071,55.97,0.030988,24.412071,-0.390159
735084.635417,1.0,24.498384,55.696,0.030988,24.498384,-0.360681
735084.645833,1.0,24.584695,55.672,0.030988,24.584695,-0.329362
735084.65625,1.0,24.412071,55.797,0.030988,24.412071,-0.391435
735084.666667,1.0,24.325762,55.86,0.030988,24.325762,-0.422475
735084.677083,1.0,24.412071,55.828,0.030988,24.412071,-0.391207
735084.6875,1.0,24.498384,55.731,0.030988,24.498384,-0.360421
735084.697917,1.0,24.498384,55.724,0.030988,24.498384,-0.360473
735084.708333,1.0,24.412071,55.783,0.030988,24.412071,-0.391538
735084.71875,1.0,24.412071,55.776,0.030988,24.412071,-0.39159
735084.729167,1.0,24.412071,55.626,0.030988,24.412071,-0.392696
735084.739583,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735084.75,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735084.760417,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735084.770833,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735084.78125,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735084.791667,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735084.802083,1.0,23.807896,55.626,0.030988,23.807896,-0.612109
735084.8125,1.0,23.807896,55.626,0.030988,23.807896,-0.612109
735084.822917,1.0,23.721585,55.626,0.030988,23.721585,-0.643554
735084.833333,1.0,23.721585,55.626,0.030988,23.721585,-0.643554
735084.84375,1.0,23.635274,55.626,0.030988,23.635274,-0.675
735084.854167,1.0,23.635274,55.626,0.030988,23.635274,-0.675
735084.864583,1.0,23.29003,55.626,0.030988,23.29003,-0.800782
735084.875,1.0,23.376341,55.626,0.030988,23.376341,-0.769337
735084.885417,1.0,23.548963,55.626,0.030988,23.548963,-0.706446
735084.895833,1.0,23.721585,55.626,0.030988,23.721585,-0.643554
735084.90625,1.0,23.721585,55.626,0.030988,23.721585,-0.643554
735084.916667,1.0,23.894207,55.626,0.030988,23.894207,-0.580663
735084.927083,1.0,23.980518,55.626,0.030988,23.980518,-0.549218
735084.9375,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735084.947917,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735084.958333,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735084.96875,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735084.979167,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735084.989583,1.0,24.239451,55.626,0.030988,24.239451,-0.454884
735085.0,1.0,24.239451,55.626,0.030988,24.239451,-0.454884
735085.010417,1.0,24.325762,55.626,0.030988,24.325762,-0.424192
735085.020833,1.0,24.412071,55.626,0.030988,24.412071,-0.392696
735085.03125,1.0,24.239451,55.626,0.030988,24.239451,-0.454884
735085.041667,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735085.052083,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735085.0625,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735085.072917,1.0,23.807896,55.626,0.030988,23.807896,-0.612109
735085.083333,1.0,23.721585,55.626,0.030988,23.721585,-0.643554
735085.09375,1.0,23.721585,55.626,0.030988,23.721585,-0.643554
735085.104167,1.0,23.721585,55.626,0.030988,23.721585,-0.643554
735085.114583,1.0,23.548963,55.626,0.030988,23.548963,-0.706446
735085.125,1.0,23.376341,55.626,0.030988,23.376341,-0.769337
735085.135417,1.0,23.376341,55.626,0.030988,23.376341,-0.769337
735085.145833,1.0,23.376341,55.626,0.030988,23.376341,-0.769337
735085.15625,1.0,23.29003,55.626,0.030988,23.29003,-0.800782
735085.166667,1.0,23.203719,55.626,0.030988,23.203719,-0.832227
735085.177083,1.0,23.203719,55.626,0.030988,23.203719,-0.832227
735085.1875,1.0,23.203719,55.626,0.030988,23.203719,-0.832227
735085.197917,1.0,23.031097,55.626,0.030988,23.031097,-0.895116
735085.208333,1.0,23.031097,55.626,0.030988,23.031097,-0.895116
735085.21875,1.0,23.031097,55.626,0.030988,23.031097,-0.895116
735085.229167,1.0,23.031097,55.626,0.030988,23.031097,-0.895116
735085.239583,1.0,23.203719,55.626,0.030988,23.203719,-0.832227
735085.25,1.0,23.376341,55.626,0.030988,23.376341,-0.769337
735085.260417,1.0,23.548963,55.626,0.030988,23.548963,-0.706446
735085.270833,1.0,,55.626,0.030988,,
735085.28125,1.0,,55.626,0.030988,,
735085.291667,1.0,,55.626,0.030988,,
735085.302083,1.0,,55.626,0.030988,,
735085.3125,1.0,,55.626,0.030988,,
735085.322917,1.0,,55.626,0.030988,,
735085.333333,1.0,,55.626,0.030988,,
735085.34375,1.0,,55.626,0.030988,,
735085.354167,1.0,,55.626,0.030988,,
735085.364583,1.0,,55.626,0.030988,,
735085.375,1.0,,55.626,0.030988,,
735085.385417,1.0,,55.626,0.030988,,
735085.395833,1.0,,55.626,0.030988,,
735085.40625,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735085.416667,1.0,23.980518,55.626,0.030988,23.980518,-0.549218
735085.427083,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
735085.4375,1.0,24.066829,55.626,0.030988,24.066829,-0.517773
